congress,chamber,session,roll_call,bill,date,democratic,description,document_number,document_title,independent,question,question_text,republican,result,source,tie_breaker,tie_breaker_vote,time,total,url,vote_type,vote_uri
110,Senate,2,11,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-07,"{'yes': 39, 'no': 7, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Feingold Amdt. No. 3915 ; To place flexible limits on the use of information obtained using unlawful procedures.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 0, 'no': 48, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00011.xml,,,17:26:00,"{'yes': 40, 'no': 56, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00011,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/11.json
110,Senate,2,12,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-07,"{'yes': 37, 'no': 8, 'present': 0, 'not_voting': 4, 'majority_position': 'Yes'}",Feingold Amdt. No. 3913; To prohibit reverse targeting and protect the rights of Americans who are communicating with people abroad.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 0, 'no': 48, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00012.xml,,,17:59:00,"{'yes': 38, 'no': 57, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00012,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/12.json
110,Senate,2,13,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-12,"{'yes': 47, 'no': 1, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Feinstein Amdt. No. 3910; To provide a statement of the exclusive means by which electronic surveillance and interception of certain communications may be conducted.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 9, 'no': 39, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00013.xml,,,10:18:00,"{'yes': 57, 'no': 41, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00013,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/13.json
110,Senate,2,14,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-12,"{'yes': 34, 'no': 14, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Feingold Amdt. No. 3979; To provide safeguards for communications involving persons inside the United States.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 0, 'no': 48, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00014.xml,,,10:43:00,"{'yes': 35, 'no': 63, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00014,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/14.json
110,Senate,2,15,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-12,"{'yes': 30, 'no': 18, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Dodd Amdt. No. 3907; To strike the provisions providing immunity from civil liability to electronic communication service providers for certain assistance provided to the Government.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 0, 'no': 48, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00015.xml,,,11:03:00,"{'yes': 31, 'no': 67, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00015,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/15.json
110,Senate,2,16,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-12,"{'yes': 36, 'no': 12, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Feingold Amdt. No. 3912; To modify the requirements for certifications made prior to the initiation of certain acquisitions.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 0, 'no': 47, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00016.xml,,,11:22:00,"{'yes': 37, 'no': 60, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00016,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/16.json
110,Senate,2,17,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-12,"{'yes': 28, 'no': 20, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Specter Amdt. No. 3927; To provide for the substitution of the United States in certain civil actions.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 1, 'no': 47, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00017.xml,,,11:44:00,"{'yes': 30, 'no': 68, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00017,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/17.json
110,Senate,2,18,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-12,"{'yes': 39, 'no': 9, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Feinstein Amdt. No. 3919; To provide for the review of certifications by the Foreign Intelligence Surveillance Court.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 1, 'no': 47, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00018.xml,,,12:01:00,"{'yes': 41, 'no': 57, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00018,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/18.json
110,Senate,2,19,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-12,"{'yes': 20, 'no': 28, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Motion to Invoke Cloture Re. S. 2248; FISA Amendments Act of 2008,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Cloture Motion,,"{'yes': 48, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00019.xml,,,12:18:00,"{'yes': 69, 'no': 29, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00019,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/19.json
110,Senate,2,20,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-12,"{'yes': 19, 'no': 28, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}",S.2248 as Amended; FISA Amendments Act of 2008,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On Passage of the Bill,,"{'yes': 48, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Passed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00020.xml,,,17:30:00,"{'yes': 68, 'no': 29, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00020,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/20.json
110,Senate,2,21,"{'bill_id': 'hr2082-110', 'number': 'H.R.2082', 'sponsor_id': 'R000170', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr2082.json', 'title': 'To authorize appropriations for fiscal year 2008 for intelligence and intelligence-related activities of the United States Government, the Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes.', 'latest_action': 'On motion to refer the bill and the accompanying veto message to the Permanent Select Committee on Intelligence. Agreed to without objection.'}",2008-02-13,"{'yes': 46, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Motion To Invoke Cloture On The Conference Report To Accompany H.R. 2082; Intelligence Authorization Act for Fiscal Year 2008,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Cloture Motion,,"{'yes': 44, 'no': 4, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00021.xml,,,11:06:00,"{'yes': 92, 'no': 4, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00021,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/21.json
110,Senate,2,22,"{'bill_id': 'hr2082-110', 'number': 'H.R.2082', 'sponsor_id': 'R000170', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr2082.json', 'title': 'To authorize appropriations for fiscal year 2008 for intelligence and intelligence-related activities of the United States Government, the Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes.', 'latest_action': 'On motion to refer the bill and the accompanying veto message to the Permanent Select Committee on Intelligence. Agreed to without objection.'}",2008-02-13,"{'yes': 45, 'no': 1, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",HR 2082 Conference Report ; Intelligence Authorization Act for Fiscal Year 2008,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Conference Report,,"{'yes': 5, 'no': 43, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00022.xml,,,16:31:00,"{'yes': 51, 'no': 45, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00022,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/22.json
110,Senate,2,23,"{'bill_id': 's1200-110', 'number': 'S.1200', 'sponsor_id': 'D000432', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1200.json', 'title': 'A bill to amend the Indian Health Care Improvement Act to revise and extend the Act.', 'latest_action': 'Referred to House Ways and Means'}",2008-02-13,"{'yes': 46, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Tester Amdt. No. 4020; To express the sense of Congress regarding law enforcement and methamphetamine issues in Indian country.,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 47, 'no': 0, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00023.xml,,,17:24:00,"{'yes': 95, 'no': 0, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00023,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/23.json
110,Senate,2,24,"{'bill_id': 's1200-110', 'number': 'S.1200', 'sponsor_id': 'D000432', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1200.json', 'title': 'A bill to amend the Indian Health Care Improvement Act to revise and extend the Act.', 'latest_action': 'Referred to House Ways and Means'}",2008-02-14,"{'yes': 46, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Dorgan Amdt. No. 4082; Of a perfecting nature.,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 47, 'no': 0, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00024.xml,,,15:03:00,"{'yes': 95, 'no': 0, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00024,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/24.json
110,Senate,2,25,"{'bill_id': 's1200-110', 'number': 'S.1200', 'sponsor_id': 'D000432', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1200.json', 'title': 'A bill to amend the Indian Health Care Improvement Act to revise and extend the Act.', 'latest_action': 'Referred to House Ways and Means'}",2008-02-14,"{'yes': 0, 'no': 46, 'present': 0, 'not_voting': 3, 'majority_position': 'No'}",Coburn Amdt. No. 4034; To allow tribal members to make their own health care choices.,,,"{'yes': 0, 'no': 2, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 28, 'no': 19, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00025.xml,,,15:27:00,"{'yes': 28, 'no': 67, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00025,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/25.json
